english	de	fr	ko	es	ru	el	zh-Hans	zh-Hant	it	pt-BR	ja	pl
Sound settings	Sound-Einstellungen	Réglages du son	사운드 설정	Ajustes de sonido	Настройки звука	Ρυθμίσεις ήχου	声音设置	聲音設定	Impostazioni audio	Configurações de som	サウンド設定	Ustawienia dźwięku
Effects volume	Effektlautstärke	Volume des effets	효과음 볼륨	Volumen de efectos	Громкость эффектов	Ένταση εφέ	音效音量	音效音量	Volume effetti	Volume dos efeitos	効果音の音量	Głośność efektów
Music volume	Musiklautstärke	Volume de la musique	음악 볼륨	Volumen de la música	Громкость музыки	Ένταση μουσικής	音乐音量	音樂音量	Volume musica	Volume da música	音楽の音量	Głośność muzyki
Change a value with left and right.	Ändere den Wert mit links und rechts.	Change la valeur avec gauche et droite.	왼쪽과 오른쪽으로 값을 바꾸세요.	Cambia el valor con izquierda y derecha.	Меняйте значение влево и вправо.	Αλλάξτε τιμή με αριστερά και δεξιά.	用左右改变数值。	用左右改變數值。	Cambia un valore con sinistra e destra.	Mude um valor com esquerda e direita.	左右で値を変えます。	Zmień wartość w lewo i w prawo.
Navigate	Navigieren	Naviguer	탐색	Navegar	Навигация	Πλοήγηση	导航	導覽	Naviga	Navegar	移動	Nawiguj
Go back	Zurück	Retour	뒤로	Volver	Назад	Πίσω	返回	返回	Indietro	Voltar	戻る	Wstecz
Change	Ändern	Changer	변경	Cambiar	Изменить	Αλλαγή	更改	變更	Cambia	Mudar	変更	Zmień
Toggle	Umschalten	Basculer	전환	Alternar	Переключить	Εναλλαγή	切换	切換	Commuta	Alternar	切り替え	Przełącz
Reading your stores…	Deine Stores werden gelesen…	Lecture de tes boutiques…	스토어를 읽는 중…	Leyendo tus tiendas…	Чтение магазинов…	Ανάγνωση των καταστημάτων σας…	正在读取你的商店…	正在讀取你的商店…	Lettura degli store…	Lendo suas lojas…	ストアを読み込み中…	Odczyt sklepów…
Reading your Steam library…	Deine Steam-Bibliothek wird gelesen…	Lecture de ta bibliothèque Steam…	Steam 라이브러리를 읽는 중…	Leyendo tu biblioteca de Steam…	Чтение библиотеки Steam…	Ανάγνωση της βιβλιοθήκης Steam…	正在读取你的 Steam 游戏库…	正在讀取你的 Steam 遊戲庫…	Lettura della libreria Steam…	Lendo sua biblioteca Steam…	Steam ライブラリを読み込み中…	Odczyt biblioteki Steam…
Center opens on the library, not on Home.	Center öffnet die Bibliothek statt Home.	Center s'ouvre sur la bibliothèque, pas sur l'accueil.	Center가 홈 대신 라이브러리로 열립니다.	Center abre la biblioteca en vez de Inicio.	Center открывается на библиотеке, а не на главной.	Το Center ανοίγει στη βιβλιοθήκη, όχι στην αρχική.	Center 打开时进入游戏库，而不是主页。	Center 開啟時進入遊戲庫，而不是主頁。	Center si apre sulla libreria, non su Home.	O Center abre na biblioteca, não na tela inicial.	Center はホームではなくライブラリで開きます。	Center otwiera się na bibliotece, nie na ekranie głównym.
ClawTweaks starts Center when it starts itself.	ClawTweaks startet Center mit sich selbst.	ClawTweaks lance Center en même temps que lui.	ClawTweaks가 시작될 때 Center도 함께 시작합니다.	ClawTweaks inicia Center cuando se inicia él.	ClawTweaks запускает Center вместе с собой.	Το ClawTweaks ξεκινά το Center όταν ξεκινά το ίδιο.	ClawTweaks 启动时会一起启动 Center。	ClawTweaks 啟動時會一起啟動 Center。	ClawTweaks avvia Center quando parte.	O ClawTweaks inicia o Center quando ele mesmo inicia.	ClawTweaks が起動するときに Center も起動します。	ClawTweaks uruchamia Center razem ze sobą.
Closing the window leaves Center running in the tray.	Beim Schließen läuft Center im Infobereich weiter.	Fermer la fenêtre laisse Center dans la zone de notification.	창을 닫아도 Center는 트레이에서 계속 실행됩니다.	Al cerrar la ventana, Center sigue en la bandeja.	Закрытие окна оставляет Center работать в трее.	Κλείνοντας το παράθυρο, το Center μένει στην περιοχή ειδοποιήσεων.	关闭窗口后 Center 仍留在通知区域。	關閉視窗後 Center 仍留在通知區。	Chiudendo la finestra Center resta nell'area di notifica.	Fechar a janela deixa o Center em execução na bandeja.	ウィンドウを閉じても Center は通知領域に残ります。	Zamknięcie okna zostawia Center działający w zasobniku.
What Center does with itself once a game runs.	Was Center mit sich macht, sobald ein Spiel läuft.	Ce que Center fait de lui-même quand un jeu démarre.	게임이 실행되면 Center가 스스로 무엇을 할지.	Qué hace Center consigo mismo cuando corre un juego.	Что Center делает с собой, когда запущена игра.	Τι κάνει το Center με τον εαυτό του μόλις τρέξει παιχνίδι.	游戏运行后 Center 自己怎么处理。	遊戲執行後 Center 自己怎麼處理。	Cosa fa Center quando un gioco è in esecuzione.	O que o Center faz consigo mesmo quando um jogo roda.	ゲームが動き出したときに Center 自身がどうするか。	Co Center robi ze sobą, gdy działa gra.
Which tabs the library shows, and in which order.	Welche Tabs die Bibliothek zeigt und in welcher Reihenfolge.	Quels onglets la bibliothèque affiche, et dans quel ordre.	라이브러리에 어떤 탭을 어떤 순서로 표시할지.	Qué pestañas muestra la biblioteca y en qué orden.	Какие вкладки показывает библиотека и в каком порядке.	Ποιες καρτέλες δείχνει η βιβλιοθήκη και με ποια σειρά.	游戏库显示哪些标签，以及顺序。	遊戲庫顯示哪些標籤，以及順序。	Quali schede mostra la libreria, e in che ordine.	Quais abas a biblioteca mostra, e em que ordem.	ライブラリに出すタブと、その並び順。	Które karty pokazuje biblioteka i w jakiej kolejności.
More covers per row, and a smaller Recent reel.	Mehr Cover pro Reihe und ein kleineres Recent-Band.	Plus de jaquettes par ligne, et un bandeau Recent plus petit.	한 줄에 더 많은 커버, 그리고 더 작은 Recent 줄.	Más carátulas por fila y una fila Recent más pequeña.	Больше обложек в ряду и меньшая лента «Недавних».	Περισσότερα εξώφυλλα ανά σειρά και μικρότερη λωρίδα Πρόσφατα.	每行更多封面，「最近」横栏更小。	每列更多封面，「最近」橫欄更小。	Più copertine per riga e una fila Recent più piccola.	Mais capas por linha e uma fileira Recentes menor.	1 行のカバーを増やし、「最近」の帯を小さくします。	Więcej okładek w rzędzie i mniejszy pasek Ostatnich.
Fades the tabs and the footer out on Recent while you idle.	Blendet Tabs und Fußzeile in Recent aus, wenn du nichts drückst.	Estompe les onglets et le pied de page dans Recent quand tu ne touches à rien.	Recent에서 아무것도 누르지 않으면 탭과 하단 바가 흐려집니다.	Atenúa las pestañas y el pie en Recent mientras no pulsas nada.	Скрывает вкладки и нижнюю панель в «Недавних» при бездействии.	Σβήνει τις καρτέλες και το υποσέλιδο στα Πρόσφατα όσο δεν κάνετε τίποτα.	闲置时淡出「最近」页的标签和页脚。	閒置時淡出「最近」頁的標籤和頁尾。	Sfuma schede e piè di pagina in Recent quando sei inattivo.	Esmaece as abas e o rodapé em Recentes enquanto você está inativo.	操作が無い間、「最近」のタブとフッターを消します。	Wygasza karty i stopkę w Ostatnich, gdy nic nie robisz.
Mirrors every cover in the Recent reel.	Spiegelt jedes Cover im Recent-Band.	Reflète chaque jaquette du bandeau Recent.	Recent 줄의 모든 커버를 반사합니다.	Refleja cada carátula de la fila Recent.	Отражает каждую обложку в ленте «Недавних».	Καθρεφτίζει κάθε εξώφυλλο στη λωρίδα Πρόσφατα.	让「最近」横栏中的每张封面都有倒影。	讓「最近」橫欄中的每張封面都有倒影。	Riflette ogni copertina nella fila Recent.	Reflete cada capa na fileira Recentes.	「最近」の帯でカバーを映り込ませます。	Odbija każdą okładkę w pasku Ostatnich.
ROM covers are square instead of upright.	ROM-Cover sind quadratisch statt hochkant.	Les jaquettes de ROM sont carrées au lieu de verticales.	ROM 커버가 세로 대신 정사각형이 됩니다.	Las carátulas de ROM son cuadradas en vez de verticales.	Обложки ROM квадратные, а не вертикальные.	Τα εξώφυλλα ROM είναι τετράγωνα αντί για κάθετα.	ROM 封面用方形而不是竖版。	ROM 封面用方形而不是直式。	Le copertine ROM sono quadrate invece che verticali.	As capas de ROM são quadradas em vez de verticais.	ROM のカバーを縦型ではなく正方形にします。	Okładki ROM są kwadratowe zamiast pionowych.
The folder your own covers and backgrounds come from.	Der Ordner für eigene Cover und Hintergründe.	Le dossier d'où viennent tes jaquettes et tes fonds.	직접 넣은 커버와 배경이 들어 있는 폴더.	La carpeta de tus carátulas y fondos.	Папка, откуда берутся ваши обложки и фоны.	Ο φάκελος από όπου έρχονται τα δικά σας εξώφυλλα και φόντα.	存放你自己的封面和背景的文件夹。	存放你自己的封面和背景的資料夾。	La cartella da cui vengono le tue copertine e i tuoi sfondi.	A pasta de onde vêm suas capas e fundos.	自分のカバーと背景を置くフォルダー。	Folder, z którego pochodzą Twoje okładki i tła.
The picture behind the library.	Das Bild hinter der Bibliothek.	L'image derrière la bibliothèque.	라이브러리 뒤에 깔리는 이미지.	La imagen detrás de la biblioteca.	Изображение за библиотекой.	Η εικόνα πίσω από τη βιβλιοθήκη.	游戏库背后的图片。	遊戲庫背後的圖片。	L'immagine dietro la libreria.	A imagem atrás da biblioteca.	ライブラリの背景の画像。	Obraz za biblioteką.
Interface sounds, music, and a volume for each.	Menügeräusche, Musik und je eine Lautstärke.	Sons de l'interface, musique, et un volume pour chacun.	인터페이스 사운드, 음악, 그리고 각각의 볼륨.	Sonidos de la interfaz, música y un volumen para cada uno.	Звуки интерфейса, музыка и громкость для каждого.	Ήχοι περιβάλλοντος, μουσική και ξεχωριστή ένταση για το καθένα.	界面音效、音乐，以及各自的音量。	介面音效、音樂，以及各自的音量。	Suoni dell'interfaccia, musica e un volume per ciascuno.	Sons da interface, música e um volume para cada um.	操作音、音楽、それぞれの音量。	Dźwięki interfejsu, muzyka i głośność dla każdego.
Downloads covers for games that have none.	Lädt Cover für Spiele ohne eigenes Bild.	Télécharge les jaquettes des jeux qui n'en ont pas.	커버가 없는 게임의 커버를 내려받습니다.	Descarga carátulas para juegos que no tienen.	Загружает обложки для игр, у которых их нет.	Κατεβάζει εξώφυλλα για παιχνίδια που δεν έχουν.	为没有封面的游戏下载封面。	為沒有封面的遊戲下載封面。	Scarica le copertine per i giochi che non ne hanno.	Baixa capas para jogos que não têm.	カバーが無いゲームのカバーを取得します。	Pobiera okładki dla gier, które ich nie mają.
Start {0}?	{0} starten?	Démarrer {0} ?	{0} 시작할까요?	¿Iniciar {0}?	Запустить {0}?	Εκκίνηση του {0};	启动 {0}？	啟動 {0}？	Avviare {0}?	Iniciar {0}?	{0} を起動？	Uruchomić {0}?
Steam starts first. This takes longer.	Steam startet zuerst. Das dauert länger.	Steam démarre d'abord. C'est plus long.	Steam이 먼저 시작합니다. 더 오래 걸립니다.	Steam se inicia primero. Tarda más.	Сначала запускается Steam. Это дольше.	Πρώτα ξεκινά το Steam. Αυτό παίρνει περισσότερο.	Steam 会先启动，所以耗时更长。	Steam 會先啟動，所以耗時更久。	Prima parte Steam. Ci vuole più tempo.	O Steam inicia primeiro. Isso demora mais.	先に Steam が起動するため、少し時間がかかります。	Najpierw uruchamia się Steam. To trwa dłużej.
This can take a moment.	Das kann einen Moment dauern.	Cela peut prendre un moment.	잠시 걸릴 수 있습니다.	Esto puede tardar un momento.	Это может занять немного времени.	Αυτό μπορεί να πάρει λίγο.	这需要一点时间。	這需要一點時間。	Può volerci un momento.	Isso pode levar um momento.	少し時間がかかります。	To może chwilę potrwać.
Your images	Eigene Game Art Ordner	Vos images	내 이미지	Tus imágenes	Ваши изображения	Οι εικόνες σας	你的图片	你的圖片	Le tue immagini	Suas imagens	自分の画像	Twoje obrazy
{0} · charging	{0} · lädt	{0} · en charge	{0} · 충전 중	{0} · cargando	{0} · заряжается	{0} · φορτίζει	{0} · 充电中	{0} · 充電中	{0} · in carica	{0} · carregando	{0} · 充電中	{0} · ładowanie
{0} · charging · {1} h	{0} · lädt · {1} h	{0} · en charge · {1} h	{0} · 충전 중 · {1} h	{0} · cargando · {1} h	{0} · заряжается · {1} ч	{0} · φορτίζει · {1} ώ	{0} · 充电中 · {1} 小时	{0} · 充電中 · {1} 小時	{0} · in carica · {1} h	{0} · carregando · {1} h	{0} · 充電中 · {1} 時間	{0} · ładowanie · {1} h
{0} · discharging	{0} · entlädt	{0} · en décharge	{0} · 방전 중	{0} · descargando	{0} · разряжается	{0} · εκφορτίζεται	{0} · 放电中	{0} · 放電中	{0} · in scarica	{0} · descarregando	{0} · 放電中	{0} · rozładowywanie
{0} · discharging · {1} h	{0} · entlädt · {1} h	{0} · en décharge · {1} h	{0} · 방전 중 · {1} h	{0} · descargando · {1} h	{0} · разряжается · {1} ч	{0} · εκφορτίζεται · {1} ώ	{0} · 放电中 · {1} 小时	{0} · 放電中 · {1} 小時	{0} · in scarica · {1} h	{0} · descarregando · {1} h	{0} · 放電中 · {1} 時間	{0} · rozładowywanie · {1} h
{0} · AC power · fully charged	{0} · Netzbetrieb · vollständig geladen	{0} · sur secteur · complètement chargée	{0} · 전원 연결됨 · 완전 충전	{0} · con corriente · carga completa	{0} · от сети · заряжена	{0} · ρεύμα · πλήρως φορτισμένη	{0} · 交流供电 · 已充满	{0} · 交流供電 · 已充滿	{0} · alimentazione · carica completa	{0} · na tomada · carga completa	{0} · 電源接続 · 満充電	{0} · zasilanie sieciowe · naładowana
{0} · AC power · not charging	{0} · Netzbetrieb · lädt nicht	{0} · sur secteur · pas en charge	{0} · 전원 연결됨 · 충전 안 함	{0} · con corriente · sin cargar	{0} · от сети · не заряжается	{0} · ρεύμα · δεν φορτίζει	{0} · 交流供电 · 未充电	{0} · 交流供電 · 未充電	{0} · alimentazione · non in carica	{0} · na tomada · não carregando	{0} · 電源接続 · 充電していません	{0} · zasilanie sieciowe · bez ładowania
{0} is downloading	{0} wird geladen	{0} se télécharge	{0} 다운로드 중	{0} se está descargando	{0} загружается	Γίνεται λήψη του {0}	正在下载 {0}	正在下載 {0}	{0} in download	{0} está baixando	{0} をダウンロード中	{0} się pobiera
{0} is running	{0} läuft	{0} est en cours	{0} 실행 중	{0} está en marcha	{0} запущена	Το {0} εκτελείται	{0} 正在运行	{0} 正在執行	{0} è in esecuzione	{0} está em execução	{0} が動作中	{0} działa
{0} is starting	{0} startet	{0} démarre	{0} 시작 중	{0} se está iniciando	{0} запускается	Το {0} ξεκινά	{0} 正在启动	{0} 正在啟動	{0} si sta avviando	{0} está iniciando	{0} を起動中	{0} się uruchamia
{0} of {1} unlocked	{0} von {1} freigeschaltet	{0} sur {1} débloqués	{1}개 중 {0}개 달성	{0} de {1} desbloqueados	{0} из {1} открыто	{0} από {1} ξεκλείδωτα	已解锁 {1} 个中的 {0} 个	已解鎖 {1} 個中的 {0} 個	{0} di {1} sbloccati	{0} de {1} desbloqueadas	{1} 個中 {0} 個を解除	{0} z {1} odblokowanych
{0}% of players	{0}% der Spieler	{0}% des joueurs	플레이어 {0}%	{0}% de jugadores	{0}% игроков	{0}% των παικτών	{0}% 的玩家	{0}% 的玩家	{0}% dei giocatori	{0}% dos jogadores	プレイヤーの {0}%	{0}% graczy
Drivers & Windows Updates	Treiber & Windows-Updates	Pilotes et mises à jour Windows	드라이버 및 Windows 업데이트	Controladores y actualizaciones de Windows	Драйверы и Windows Update	Οδηγοί & ενημερώσεις Windows	驱动与 Windows 更新	驅動程式與 Windows 更新	Driver e Windows Update	Drivers e Windows Update	ドライバーと Windows の更新	Sterowniki i Windows Update
Device drivers	Gerätetreiber	Pilotes	장치 드라이버	Controladores	Драйверы устройств	Οδηγοί συσκευών	设备驱动	裝置驅動程式	Driver	Drivers do dispositivo	デバイスドライバー	Sterowniki urządzeń
Drivers could not be checked	Treiber konnten nicht geprüft werden	Impossible de vérifier les pilotes	드라이버를 확인할 수 없음	No se pudieron comprobar los controladores	Не удалось проверить драйверы	Οι οδηγοί δεν ελέγχθηκαν	无法检查驱动	無法檢查驅動程式	Impossibile verificare i driver	Não foi possível verificar os drivers	ドライバーを確認できませんでした	Nie udało się sprawdzić sterowników
ClawTweaks is not running.	ClawTweaks läuft nicht.	ClawTweaks ne tourne pas.	ClawTweaks가 실행 중이 아닙니다.	ClawTweaks no se está ejecutando.	ClawTweaks не запущен.	Το ClawTweaks δεν εκτελείται.	ClawTweaks 未运行。	ClawTweaks 未執行。	ClawTweaks non è in esecuzione.	O ClawTweaks não está em execução.	ClawTweaks が動作していません。	ClawTweaks nie działa.
No answer from ClawTweaks.	Keine Antwort von ClawTweaks.	Aucune réponse de ClawTweaks.	ClawTweaks에서 응답이 없습니다.	Sin respuesta de ClawTweaks.	Нет ответа от ClawTweaks.	Καμία απάντηση από το ClawTweaks.	ClawTweaks 没有回应。	ClawTweaks 沒有回應。	Nessuna risposta da ClawTweaks.	Sem resposta do ClawTweaks.	ClawTweaks から応答がありません。	Brak odpowiedzi od ClawTweaks.
The driver list could not be read.	Die Treiberliste konnte nicht gelesen werden.	La liste des pilotes n'a pas pu être lue.	드라이버 목록을 읽지 못했습니다.	No se pudo leer la lista de controladores.	Не удалось прочитать список драйверов.	Η λίστα οδηγών δεν διαβάστηκε.	无法读取驱动列表。	無法讀取驅動程式清單。	Impossibile leggere l'elenco dei driver.	Não foi possível ler a lista de drivers.	ドライバー一覧を読み込めませんでした。	Nie udało się odczytać listy sterowników.
The driver check failed.	Die Treiberprüfung ist fehlgeschlagen.	La vérification des pilotes a échoué.	드라이버 확인에 실패했습니다.	La comprobación de controladores falló.	Проверка драйверов не удалась.	Ο έλεγχος οδηγών απέτυχε.	驱动检查失败。	驅動程式檢查失敗。	Verifica dei driver non riuscita.	A verificação de drivers falhou.	ドライバーの確認に失敗しました。	Sprawdzenie sterowników nie udało się.
Graphics	Grafik	Graphiques	그래픽	Gráficos	Графика	Γραφικά	显卡	顯示卡	Grafica	Gráficos	グラフィック	Grafika
Devices	Geräte	Appareils	장치	Dispositivos	Устройства	Συσκευές	设备	裝置	Dispositivi	Dispositivos	デバイス	Urządzenia
Nothing to show for this device.	Für dieses Gerät gibt es nichts anzuzeigen.	Rien à afficher pour cet appareil.	이 기기에 대해 표시할 내용이 없습니다.	No hay nada que mostrar para este dispositivo.	Для этого устройства нечего показать.	Τίποτα προς εμφάνιση για αυτή τη συσκευή.	这台设备没有可显示的内容。	這台裝置沒有可顯示的內容。	Nulla da mostrare per questo dispositivo.	Nada a mostrar para este dispositivo.	このデバイスに表示するものはありません。	Nic do pokazania dla tego urządzenia.
The list could not be refreshed; showing what was known last.	Die Liste konnte nicht aktualisiert werden; angezeigt wird der letzte bekannte Stand.	La liste n'a pas pu être actualisée ; affichage du dernier état connu.	목록을 새로 고칠 수 없어 마지막으로 확인된 내용을 표시합니다.	No se pudo actualizar la lista; se muestra el último estado conocido.	Не удалось обновить список; показано последнее известное.	Η λίστα δεν ανανεώθηκε· εμφανίζεται ό,τι ήταν γνωστό τελευταία.	列表无法刷新；显示的是上次已知的内容。	清單無法重新整理；顯示的是上次已知的內容。	Impossibile aggiornare l'elenco; mostro l'ultimo stato noto.	Não foi possível atualizar a lista; mostrando o último estado conhecido.	一覧を更新できませんでした。最後に分かっていた内容を表示しています。	Nie udało się odświeżyć listy; pokazano ostatni znany stan.
installed	installiert	installé	설치됨	instalado	установлено	εγκατεστημένη	已安装	已安裝	installato	instalado	導入済み	zainstalowano
available	verfügbar	disponible	사용 가능	disponible	доступно	διαθέσιμη	可获取	可取得	disponibile	disponível	入手可能	dostępne
not installed	nicht installiert	non installé	설치되지 않음	no instalado	не установлено	μη εγκατεστημένη	未安装	未安裝	non installato	não instalado	未インストール	niezainstalowane
Update available	Update verfügbar	Mise à jour disponible	업데이트 있음	Actualización disponible	Доступно обновление	Διαθέσιμη ενημέρωση	有可用更新	有可用更新	Aggiornamento disponibile	Atualização disponível	更新があります	Dostępna aktualizacja
Update available (beta)	Update verfügbar (Beta)	Mise à jour disponible (bêta)	업데이트 있음(베타)	Actualización disponible (beta)	Доступно обновление (бета)	Διαθέσιμη ενημέρωση (beta)	有可用更新 (测试版)	有可用更新 (測試版)	Aggiornamento disponibile (beta)	Atualização disponível (beta)	更新があります (ベータ)	Dostępna aktualizacja (beta)
Muted	Stumm	Ignoré	음소거됨	Silenciado	Без звука	Σε σίγαση	已静音	已靜音	Muto	Mudo	ミュート	Wyciszone
Checking with Windows… this can take up to a minute.	Windows wird gefragt … das kann bis zu einer Minute dauern.	Interrogation de Windows… cela peut prendre jusqu'à une minute.	Windows에 확인 중… 1분 정도 걸릴 수 있습니다.	Consultando a Windows… puede tardar hasta un minuto.	Проверка через Windows… может занять до минуты.	Γίνεται έλεγχος με τα Windows… μπορεί να πάρει έως ένα λεπτό.	正在向 Windows 查询… 可能需要一分钟。	正在向 Windows 查詢… 可能需要一分鐘。	Verifica con Windows… può volerci fino a un minuto.	Verificando com o Windows… pode levar até um minuto.	Windows に確認中… 1 分ほどかかることがあります。	Sprawdzanie z Windows… może potrwać do minuty.
The check asks Microsoft directly and takes a moment.	Die Prüfung fragt direkt bei Microsoft an und dauert einen Moment.	La vérification interroge Microsoft directement et prend un moment.	이 확인은 Microsoft에 직접 물어보므로 잠시 걸립니다.	La comprobación consulta a Microsoft directamente y tarda un momento.	Проверка обращается напрямую к Microsoft и занимает время.	Ο έλεγχος ρωτά απευθείας τη Microsoft και θέλει λίγο χρόνο.	这次检查直接询问 Microsoft，需要一点时间。	這次檢查直接詢問 Microsoft，需要一點時間。	La verifica interroga Microsoft e richiede un momento.	A verificação consulta a Microsoft e leva um momento.	この確認は Microsoft に直接問い合わせるため、少し時間がかかります。	Sprawdzenie pyta bezpośrednio Microsoft i chwilę trwa.
Could not check	Prüfung nicht möglich	Vérification impossible	확인할 수 없음	No se pudo comprobar	Не удалось проверить	Δεν έγινε έλεγχος	无法检查	無法檢查	Verifica non riuscita	Verificação falhou	確認できませんでした	Nie sprawdzono
The answer could not be read.	Die Antwort konnte nicht gelesen werden.	La réponse n'a pas pu être lue.	응답을 읽지 못했습니다.	No se pudo leer la respuesta.	Не удалось прочитать ответ.	Η απάντηση δεν διαβάστηκε.	无法读取回应。	無法讀取回應。	Impossibile leggere la risposta.	Não foi possível ler a resposta.	応答を読み取れませんでした。	Nie udało się odczytać odpowiedzi.
The check failed.	Prüfung fehlgeschlagen.	La vérification a échoué.	확인에 실패했습니다.	La comprobación falló.	Проверка не удалась.	Ο έλεγχος απέτυχε.	检查失败。	檢查失敗。	Verifica non riuscita.	A verificação falhou.	確認に失敗しました。	Sprawdzenie nie udało się.
No result from Windows Update	Kein Ergebnis von Windows Update	Aucun résultat de Windows Update	Windows 업데이트 결과 없음	Sin resultado de Windows Update	Нет результата от Windows Update	Κανένα αποτέλεσμα από το Windows Update	Windows Update 没有结果	Windows Update 沒有結果	Nessun risultato da Windows Update	Sem resultado do Windows Update	Windows Update から結果がありません	Brak wyniku z Windows Update
The search ended with code {0}.	Die Suche endete mit Code {0}.	La recherche s'est terminée avec le code {0}.	검색이 코드 {0}(으)로 끝났습니다.	La búsqueda terminó con el código {0}.	Поиск завершился с кодом {0}.	Η αναζήτηση τερμάτισε με κωδικό {0}.	搜索以代码 {0} 结束。	搜尋以代碼 {0} 結束。	La ricerca è terminata con codice {0}.	A busca terminou com o código {0}.	検索がコード {0} で終了しました。	Wyszukiwanie zakończyło się kodem {0}.
Up to date	Aktuell	À jour	최신 상태	Actualizado	Актуально	Ενημερωμένο	已是最新	已是最新	Aggiornato	Atualizado	最新です	Aktualne
Windows has nothing pending for this machine.	Windows hat für dieses Gerät nichts offen.	Windows n'a rien en attente pour cette machine.	이 PC에 대기 중인 Windows 업데이트가 없습니다.	Windows no tiene nada pendiente para este equipo.	У Windows нет ничего в ожидании для этой машины.	Τα Windows δεν έχουν τίποτα σε εκκρεμότητα για αυτό το μηχάνημα.	Windows 对这台机器没有待办项。	Windows 對這台機器沒有待辦項。	Windows non ha nulla in sospeso per questa macchina.	O Windows não tem nada pendente para esta máquina.	この PC に保留中の更新はありません。	Windows nie ma nic oczekującego dla tej maszyny.
{0} update(s) ready	{0} Update(s) bereit	{0} mise(s) à jour prête(s)	업데이트 {0}개 준비됨	{0} actualización(es) lista(s)	Готово обновлений: {0}	{0} ενημέρωση/εις έτοιμες	{0} 个更新已就绪	{0} 個更新已就緒	{0} aggiornamenti pronti	{0} atualização(ões) pronta(s)	{0} 件の更新があります	{0} aktualizacji gotowych
Install them in Windows Update.	In Windows Update installieren.	Installez-les dans Windows Update.	Windows 업데이트에서 설치하세요.	Instalarlas en Windows Update.	Установите их в Windows Update.	Εγκαταστήστε τες από το Windows Update.	请在 Windows Update 中安装。	請在 Windows Update 中安裝。	Installali in Windows Update.	Instale-as no Windows Update.	Windows Update からインストールしてください。	Zainstaluj je w Windows Update.
Checked at {0}	Geprüft um {0}	Vérifié à {0}	{0}에 확인함	Comprobado a las {0}	Проверено в {0}	Ελέγχθηκε στις {0}	检查于 {0}	檢查於 {0}	Verificato alle {0}	Verificado às {0}	確認日時 {0}	Sprawdzono o {0}
Restart pending	Neustart steht aus	Redémarrage en attente	다시 시작 필요	Reinicio pendiente	Ожидается перезагрузка	Εκκρεμεί επανεκκίνηση	待重启	待重新啟動	Riavvio in sospeso	Reinício pendente	再起動が保留中	Oczekuje restart
Windows needs a restart to finish an update.	Windows braucht einen Neustart, um ein Update abzuschließen.	Windows a besoin d'un redémarrage pour terminer une mise à jour.	업데이트를 마치려면 Windows를 다시 시작해야 합니다.	Windows necesita reiniciarse para terminar una actualización.	Windows нужна перезагрузка, чтобы завершить обновление.	Τα Windows χρειάζονται επανεκκίνηση για να ολοκληρώσουν μια ενημέρωση.	Windows 需要重启才能完成更新。	Windows 需要重新啟動才能完成更新。	Windows deve riavviare per completare un aggiornamento.	O Windows precisa reiniciar para concluir uma atualização.	更新を完了するには Windows の再起動が必要です。	Windows wymaga restartu, aby dokończyć aktualizację.
restart required	Neustart erforderlich	redémarrage requis	다시 시작 필요 항목	requiere reinicio	нужна перезагрузка	απαιτείται επανεκκίνηση	需要重启	需要重新啟動	riavvio necessario	reinício necessário	再起動が必要	wymagany restart
restart possible	Neustart möglich	redémarrage possible	다시 시작할 수 있음	posible reinicio	возможна перезагрузка	πιθανή επανεκκίνηση	可以重启	可以重新啟動	riavvio possibile	reinício possível	再起動できます	restart możliwy
Check Windows Update	Windows Update prüfen	Vérifier Windows Update	Windows 업데이트 확인	Comprobar Windows Update	Проверить Windows Update	Έλεγχος του Windows Update	检查 Windows Update	檢查 Windows Update	Controlla Windows Update	Verificar o Windows Update	Windows Update を確認	Sprawdź Windows Update
Open Windows Update	Windows Update öffnen	Ouvrir Windows Update	Windows 업데이트 열기	Abrir Windows Update	Открыть Windows Update	Άνοιγμα του Windows Update	打开 Windows Update	開啟 Windows Update	Apri Windows Update	Abrir o Windows Update	Windows Update を開く	Otwórz Windows Update
Drivers & Updates	Treiber & Updates	Pilotes et mises à jour	드라이버 및 업데이트	Drivers y actualizaciones	Драйверы и обновления	Οδηγοί & ενημερώσεις	驱动与更新	驅動程式與更新	Driver e aggiornamenti	Drivers e atualizações	ドライバーと更新	Sterowniki i aktualizacje
Device drivers and the state of Windows Update.	Gerätetreiber und der Stand von Windows Update.	Pilotes de périphériques et état de Windows Update.	장치 드라이버와 Windows 업데이트 상태.	Controladores de dispositivo y el estado de Windows Update.	Драйверы устройств и состояние Windows Update.	Οι οδηγοί συσκευών και η κατάσταση του Windows Update.	设备驱动以及 Windows Update 的状态。	裝置驅動程式以及 Windows Update 的狀態。	I driver del dispositivo e lo stato di Windows Update.	Drivers do dispositivo e o estado do Windows Update.	デバイスドライバーと Windows Update の状態。	Sterowniki urządzeń i stan Windows Update.
