section	key	en	de	fr	ko	es	ru	el	zh-Hans	zh-Hant	it	pt-BR	ja	pl
the uninstaller	OffbNoCenter	ClawTweaks Center is not installed.	ClawTweaks Center ist nicht installiert.	ClawTweaks Center n'est pas installé.	ClawTweaks Center가 설치되어 있지 않습니다.	ClawTweaks Center no está instalado.	ClawTweaks Center не установлен.	Το ClawTweaks Center δεν είναι εγκατεστημένο.	ClawTweaks Center 未安装。	ClawTweaks Center 未安裝。	ClawTweaks Center non è installato.	O ClawTweaks Center não está instalado.	ClawTweaks Center はインストールされていません。	ClawTweaks Center nie jest zainstalowany.
the uninstaller	OffbNoApp	The ClawTweaks app is not installed.	Die ClawTweaks-App ist nicht installiert.	L'application ClawTweaks n'est pas installée.	ClawTweaks 앱이 설치되어 있지 않습니다.	La app ClawTweaks no está instalada.	Приложение ClawTweaks не установлено.	Η εφαρμογή ClawTweaks δεν είναι εγκατεστημένη.	ClawTweaks 应用未安装。	ClawTweaks 應用程式未安裝。	L'app ClawTweaks non è installata.	O app ClawTweaks não está instalado.	ClawTweaks アプリはインストールされていません。	Aplikacja ClawTweaks nie jest zainstalowana.
the uninstaller	OffbTail	Setup removes what is left. Your device is not put back.	Das Setup entfernt, was übrig ist. Dein Gerät wird nicht zurückgesetzt.	L'installation supprime ce qui reste. Votre appareil n'est pas remis en état.	남은 항목을 제거합니다. 장치는 원래 상태로 되돌아가지 않습니다.	El instalador elimina lo que queda. Tu dispositivo no se restaura.	Программа удаляет то, что осталось. Устройство не возвращается в исходное состояние.	Το setup αφαιρεί ό,τι απομένει. Η συσκευή σας δεν επαναφέρεται.	安装程序删除剩下的东西。你的设备不会被还原。	安裝程式移除剩下的東西。你的裝置不會被還原。	Il programma rimuove ciò che resta. Il dispositivo non viene ripristinato.	O instalador remove o que sobrou. Seu dispositivo não é restaurado.	残ったものを削除します。デバイスは元には戻されません。	Instalator usuwa to, co zostało. Urządzenie nie wraca do stanu pierwotnego.
the uninstaller	OffbCenterM	MSI Center M is still switched off.%nRun the MSI Center M cleaner.%nThen install the latest MSI Center M.	MSI Center M ist noch abgeschaltet.%nFühre den MSI Center M Cleaner aus.%nInstalliere danach das aktuelle MSI Center M.	MSI Center M est toujours désactivé.%nExécutez le nettoyeur MSI Center M.%nInstallez ensuite la dernière version de MSI Center M.	MSI Center M이 아직 꺼져 있습니다.%nMSI Center M 클리너를 실행하세요.%n그런 다음 최신 MSI Center M을 설치하세요.	MSI Center M sigue desactivado.%nEjecuta el limpiador de MSI Center M.%nDespués instala la última versión de MSI Center M.	MSI Center M всё ещё отключён.%nЗапустите очистку MSI Center M.%nЗатем установите последнюю версию MSI Center M.	Το MSI Center M είναι ακόμη απενεργοποιημένο.%nΤρέξτε τον cleaner του MSI Center M.%nΜετά εγκαταστήστε το νεότερο MSI Center M.	MSI Center M 仍处于关闭状态。%n请运行 MSI Center M 清理工具。%n然后安装最新的 MSI Center M。	MSI Center M 仍處於關閉狀態。%n請執行 MSI Center M 清理工具。%n然後安裝最新的 MSI Center M。	MSI Center M è ancora disattivato.%nEsegui il cleaner di MSI Center M.%nPoi installa la versione più recente di MSI Center M.	O MSI Center M continua desligado.%nExecute o limpador do MSI Center M.%nDepois instale a versão mais recente do MSI Center M.	MSI Center M はまだ無効のままです。%nMSI Center M のクリーナーを実行してください。%nそのあと最新の MSI Center M をインストールしてください。	MSI Center M jest nadal wyłączony.%nUruchom narzędzie czyszczące MSI Center M.%nPotem zainstaluj najnowszy MSI Center M.
the optional tools. Bullets on purpose - do not expand them into prose in any language	EdTitle	Choose what ClawTweaks installs	Waehle, was ClawTweaks installiert	Choisissez ce que ClawTweaks installe	ClawTweaks가 설치할 항목 선택	Elige qué instala ClawTweaks	Выберите, что установит ClawTweaks	Επιλέξτε τι θα εγκαταστήσει το ClawTweaks	选择 ClawTweaks 安装哪些内容	選擇 ClawTweaks 安裝哪些內容	Scegli cosa installa ClawTweaks	Escolha o que o ClawTweaks instala	ClawTweaks がインストールする内容を選択	Wybierz, co zainstaluje ClawTweaks
the optional tools. Bullets on purpose - do not expand them into prose in any language	EdDesc	None of the optional tools are on this device yet. Pick a set - everything can be changed later.	Keines der optionalen Werkzeuge ist auf diesem Gerät. Wähle einen Satz - alles lässt sich später ändern.	Aucun des outils optionnels n'est présent. Choisissez un ensemble - tout reste modifiable plus tard.	선택 도구가 아직 없습니다. 하나를 고르세요. 나중에 모두 바꿀 수 있습니다.	Ninguna de las herramientas opcionales está en este dispositivo. Elige un conjunto: todo se puede cambiar después.	Ни один из дополнительных инструментов ещё не установлен. Выберите набор — всё можно изменить позже.	Κανένα από τα προαιρετικά εργαλεία δεν υπάρχει ακόμη. Διάλεξε ένα σύνολο - όλα αλλάζουν αργότερα.	此设备上还没有任何可选工具。选择一套，之后都可以更改。	此裝置上還沒有任何選用工具。選擇一套，之後都可以變更。	È la prima volta: nessuno degli strumenti opzionali è su questo dispositivo. Scegli un insieme, tutto è modificabile in seguito.	Nenhuma das ferramentas opcionais está neste dispositivo. Escolha um conjunto - tudo pode mudar depois.	オプションのツールはまだありません。セットを選んでください。後から変更できます。	Żadne z opcjonalnych narzędzi nie jest zainstalowane. Wybierz zestaw - wszystko można zmienić później.
the optional tools. Bullets on purpose - do not expand them into prose in any language	EdLight	ClawTweaks Light - no extra drivers	ClawTweaks Light - keine zusätzlichen Treiber	ClawTweaks Light - aucun pilote supplémentaire	ClawTweaks Light - 추가 드라이버 없음	ClawTweaks Light: sin controladores adicionales	ClawTweaks Light — без дополнительных драйверов	ClawTweaks Light - χωρίς επιπλέον οδηγούς	ClawTweaks Light - 不装额外驱动	ClawTweaks Light - 不裝額外驅動程式	ClawTweaks Light - nessun driver aggiuntivo	ClawTweaks Light - sem drivers extras	ClawTweaks Light - 追加ドライバーなし	ClawTweaks Light - bez dodatkowych sterowników
the optional tools. Bullets on purpose - do not expand them into prose in any language	EdLightBody	-  Hardware controller%n-  Built-in performance overlay%n-  Intel FPS limiter (does not work in every game)	-  Hardware-Controller%n-  Eingebautes Performance-Overlay%n-  Intel-FPS-Limiter (funktioniert nicht in jedem Spiel)	-  Manette matérielle%n-  Overlay de performance intégré%n-  Limiteur FPS Intel (ne marche pas dans tous les jeux)	-  하드웨어 컨트롤러%n-  내장 성능 오버레이%n-  Intel FPS 제한 (모든 게임에서 되지는 않음)	-  Mando por hardware%n-  Overlay de rendimiento integrado%n-  Limitador FPS de Intel (no funciona en todos los juegos)	-  Аппаратный контроллер%n-  Встроенный оверлей производительности%n-  Ограничитель FPS Intel (работает не во всех играх)	-  Χειριστήριο υλικού%n-  Ενσωματωμένο overlay επιδόσεων%n-  Όριο FPS της Intel (δεν δουλεύει σε κάθε παιχνίδι)	-  硬件手柄%n-  内置性能浮层%n-  Intel 帧数限制（并非所有游戏都有效）	-  硬體手把%n-  內建效能浮層%n-  Intel 幀數限制（並非所有遊戲都有效）	-  Controller hardware%n-  Overlay prestazioni integrato%n-  Limitatore FPS Intel (non funziona in ogni gioco)	-  Controle por hardware%n-  Overlay de desempenho integrado%n-  Limitador de FPS da Intel (não funciona em todo jogo)	-  ハードウェアコントローラー%n-  内蔵パフォーマンスオーバーレイ%n-  Intel FPS 制限 (全ゲームで効くわけではない)	-  Kontroler sprzętowy%n-  Wbudowana nakładka wydajności%n-  Limiter FPS Intela (działa nie w każdej grze)
the optional tools. Bullets on purpose - do not expand them into prose in any language	EdFull	ClawTweaks Extended - everything on	ClawTweaks Erweitert - alles an	ClawTweaks Étendu - tout activé	ClawTweaks 확장 - 전부 켜기	ClawTweaks Ampliado: todo activado	ClawTweaks Расширенный — всё включено	ClawTweaks Εκτεταμένο - όλα ενεργά	ClawTweaks 扩展 - 全部开启	ClawTweaks 擴充 - 全部開啟	ClawTweaks Esteso - tutto attivo	ClawTweaks Estendido - tudo ligado	ClawTweaks 拡張 - すべて有効	ClawTweaks Rozszerzony - wszystko włączone
the optional tools. Bullets on purpose - do not expand them into prose in any language	EdFullBody	-  Virtual controller: gyro, mouse mode, custom shortcuts%n-  RTSS overlay and RTSS FPS limiter%n-  RTSS helps in some games, stutters or crashes in others (ARC Raiders, EA FC 27)%n-  Per game you can always pick Intel or RTSS	-  Virtueller Controller: Gyro, Maus-Modus, eigene Shortcuts%n-  RTSS-Overlay und RTSS-FPS-Limiter%n-  RTSS hilft in manchen Spielen, ruckelt oder stürzt in anderen (ARC Raiders, EA FC 27)%n-  Pro Spiel ist die Wahl zwischen Intel und RTSS immer da	-  Manette virtuelle : gyro, mode souris, raccourcis perso%n-  Overlay RTSS et limiteur FPS RTSS%n-  RTSS aide dans certains jeux, saccade ou plante dans d'autres (ARC Raiders, EA FC 27)%n-  Par jeu, le choix entre Intel et RTSS reste possible	-  가상 컨트롤러: 자이로, 마우스 모드, 사용자 단축키%n-  RTSS 오버레이와 RTSS FPS 제한%n-  RTSS는 일부 게임에서 도움, 일부에서는 끊김이나 충돌 (ARC Raiders, EA FC 27)%n-  게임마다 Intel과 RTSS를 언제든 고를 수 있음	-  Mando virtual: giroscopio, modo ratón, atajos propios%n-  Overlay RTSS y limitador FPS de RTSS%n-  RTSS ayuda en unos juegos y da tirones o cierres en otros (ARC Raiders, EA FC 27)%n-  Por juego siempre puedes elegir Intel o RTSS	-  Виртуальный контроллер: гироскоп, режим мыши, свои сочетания%n-  Оверлей RTSS и ограничитель FPS RTSS%n-  RTSS помогает в одних играх и даёт фризы или вылеты в других (ARC Raiders, EA FC 27)%n-  Для каждой игры всегда можно выбрать Intel или RTSS	-  Εικονικό χειριστήριο: gyro, λειτουργία ποντικιού, δικές σου συντομεύσεις%n-  Overlay RTSS και όριο FPS RTSS%n-  Το RTSS βοηθά σε κάποια παιχνίδια, κολλάει ή κρασάρει σε άλλα (ARC Raiders, EA FC 27)%n-  Ανά παιχνίδι διαλέγεις πάντα Intel ή RTSS	-  虚拟手柄：陀螺仪、鼠标模式、自定义快捷键%n-  RTSS 浮层与 RTSS 帧数限制%n-  RTSS 在部分游戏有用，在另一些会卡顿或崩溃（ARC Raiders、EA FC 27）%n-  每个游戏都能自行选择 Intel 或 RTSS	-  虛擬手把：陀螺儀、滑鼠模式、自訂快捷鍵%n-  RTSS 浮層與 RTSS 幀數限制%n-  RTSS 在部分遊戲有用，在另一些會卡頓或當機（ARC Raiders、EA FC 27）%n-  每個遊戲都能自行選擇 Intel 或 RTSS	-  Controller virtuale: giroscopio, modalità mouse, scorciatoie tue%n-  Overlay RTSS e limitatore FPS RTSS%n-  RTSS aiuta in certi giochi, in altri fa scatti o crash (ARC Raiders, EA FC 27)%n-  Per ogni gioco puoi sempre scegliere Intel o RTSS	-  Controle virtual: giroscópio, modo mouse, atalhos próprios%n-  Overlay RTSS e limitador de FPS do RTSS%n-  RTSS ajuda em alguns jogos e trava ou fecha outros (ARC Raiders, EA FC 27)%n-  Por jogo você sempre pode escolher Intel ou RTSS	-  仮想コントローラー: ジャイロ、マウスモード、独自ショートカット%n-  RTSS オーバーレイと RTSS FPS 制限%n-  RTSS は一部のゲームで有効、別のゲームではカクつきやクラッシュ (ARC Raiders、EA FC 27)%n-  ゲームごとに Intel と RTSS をいつでも選べます	-  Kontroler wirtualny: żyroskop, tryb myszy, własne skróty%n-  Nakładka RTSS i limiter FPS RTSS%n-  RTSS pomaga w części gier, w innych powoduje zacięcia lub awarie (ARC Raiders, EA FC 27)%n-  W każdej grze zawsze wybierzesz Intel albo RTSS
the optional tools. Bullets on purpose - do not expand them into prose in any language	EdCustom	Let me choose	Ich wähle selbst	Je choisis moi-même	직접 고르기	Elijo yo	Выберу сам	Θα διαλέξω μόνος μου	我自己选	我自己選	Scelgo io	Eu escolho	自分で選ぶ	Wybiorę sam
the optional tools. Bullets on purpose - do not expand them into prose in any language	EdCustomBody	-  Two short questions: controller, then RTSS	-  Zwei kurze Fragen: Controller, dann RTSS	-  Deux questions courtes : manette, puis RTSS	-  짧은 질문 두 개: 컨트롤러, 그다음 RTSS	-  Dos preguntas cortas: mando y luego RTSS	-  Два коротких вопроса: контроллер, затем RTSS	-  Δύο σύντομες ερωτήσεις: χειριστήριο, μετά RTSS	-  两个简短问题：手柄，然后 RTSS	-  兩個簡短問題：手把，然後 RTSS	-  Due domande brevi: controller, poi RTSS	-  Duas perguntas curtas: controle e depois RTSS	-  短い質問が2つ: コントローラー、次に RTSS	-  Dwa krótkie pytania: kontroler, potem RTSS
the optional tools. Bullets on purpose - do not expand them into prose in any language	VcTitle	Controller: virtual or hardware	Controller: virtuell oder Hardware	Manette : virtuelle ou matérielle	컨트롤러: 가상 또는 하드웨어	Mando: virtual o por hardware	Контроллер: виртуальный или аппаратный	Χειριστήριο: εικονικό ή υλικού	手柄：虚拟还是硬件	手把：虛擬還是硬體	Controller: virtuale o hardware	Controle: virtual ou por hardware	コントローラー: 仮想かハードウェアか	Kontroler: wirtualny czy sprzętowy
the optional tools. Bullets on purpose - do not expand them into prose in any language	VcDesc	The virtual controller needs two drivers (HidHide, usbip). The hardware controller needs none.	Der virtuelle Controller braucht zwei Treiber (HidHide, usbip). Der Hardware-Controller keinen.	La manette virtuelle a besoin de deux pilotes (HidHide, usbip). La matérielle, d'aucun.	가상 컨트롤러는 드라이버 두 개(HidHide, usbip)가 필요합니다. 하드웨어 컨트롤러는 없어도 됩니다.	El mando virtual necesita dos controladores (HidHide, usbip). El de hardware, ninguno.	Виртуальному контроллеру нужны два драйвера (HidHide, usbip). Аппаратному — ни одного.	Το εικονικό χειριστήριο θέλει δύο οδηγούς (HidHide, usbip). Το υλικού κανέναν.	虚拟手柄需要两个驱动（HidHide、usbip）。硬件手柄不需要。	虛擬手把需要兩個驅動程式（HidHide、usbip）。硬體手把不需要。	Il controller virtuale richiede due driver (HidHide, usbip). Quello hardware nessuno.	O controle virtual precisa de dois drivers (HidHide, usbip). O de hardware, nenhum.	仮想コントローラーにはドライバーが2つ必要です (HidHide、usbip)。ハードウェアなら不要です。	Kontroler wirtualny wymaga dwóch sterowników (HidHide, usbip). Sprzętowy - żadnego.
the optional tools. Bullets on purpose - do not expand them into prose in any language	VcVirtual	Virtual controller	Virtueller Controller	Manette virtuelle	가상 컨트롤러	Mando virtual	Виртуальный контроллер	Εικονικό χειριστήριο	虚拟手柄	虛擬手把	Controller virtuale	Controle virtual	仮想コントローラー	Kontroler wirtualny
the optional tools. Bullets on purpose - do not expand them into prose in any language	VcVirtualBody	+  Gyro with smoothing and anti-deadzone%n+  Full mouse mode, custom shortcuts, smooth scrolling%n+  Toggle between mouse and controller%n+  No firmware remapping, no clash with the shortcuts%n-  Needs HidHide and usbip, mounts at Windows start%n-  Most CPU of all ClawTweaks parts (no FPS loss)	+  Gyro mit Glättung und Anti-Deadzone%n+  Voller Maus-Modus, eigene Shortcuts, weiches Scrollen%n+  Umschalten zwischen Maus und Controller%n+  Kein Firmware-Remapping, kein Konflikt mit den Shortcuts%n-  Braucht HidHide und usbip, mountet beim Windows-Start%n-  Höchste CPU-Last aller ClawTweaks-Teile (keine FPS weniger)	+  Gyro avec lissage et anti-zone morte%n+  Mode souris complet, raccourcis perso, défilement fluide%n+  Bascule entre souris et manette%n+  Pas de remappage firmware, pas de conflit avec les raccourcis%n-  Demande HidHide et usbip, monte au démarrage de Windows%n-  Partie de ClawTweaks la plus gourmande en CPU (sans perte de FPS)	+  스무딩과 안티 데드존이 있는 자이로%n+  완전한 마우스 모드, 사용자 단축키, 부드러운 스크롤%n+  마우스와 컨트롤러 전환%n+  펌웨어 리매핑 불필요, 단축키와 충돌 없음%n-  HidHide와 usbip 필요, Windows 시작 시 마운트%n-  ClawTweaks 중 CPU 사용이 가장 큼 (FPS 손실 없음)	+  Giroscopio con suavizado y antizona muerta%n+  Modo ratón completo, atajos propios, scroll suave%n+  Alternar entre ratón y mando%n+  Sin remapeo de firmware, sin choques con los atajos%n-  Necesita HidHide y usbip, se monta al iniciar Windows%n-  La parte de ClawTweaks que más CPU usa (sin perder FPS)	+  Гироскоп со сглаживанием и анти-мёртвой зоной%n+  Полный режим мыши, свои сочетания, плавная прокрутка%n+  Переключение между мышью и контроллером%n+  Без перепрошивки, без конфликтов с сочетаниями%n-  Нужны HidHide и usbip, подключается при старте Windows%n-  Самая нагруженная по CPU часть ClawTweaks (без потери FPS)	+  Gyro με εξομάλυνση και anti-deadzone%n+  Πλήρης λειτουργία ποντικιού, δικές σου συντομεύσεις, ομαλή κύλιση%n+  Εναλλαγή ποντικιού και χειριστηρίου%n+  Χωρίς remapping firmware, χωρίς συγκρούσεις συντομεύσεων%n-  Θέλει HidHide και usbip, φορτώνει στην εκκίνηση των Windows%n-  Το πιο απαιτητικό σε CPU κομμάτι (χωρίς απώλεια FPS)	+  带平滑与反死区的陀螺仪%n+  完整鼠标模式、自定义快捷键、平滑滚动%n+  随时在鼠标与手柄间切换%n+  无需固件重映射，不与快捷键冲突%n-  需要 HidHide 与 usbip，随 Windows 启动挂载%n-  ClawTweaks 中最吃 CPU 的部分（不掉帧）	+  帶平滑與反死區的陀螺儀%n+  完整滑鼠模式、自訂快捷鍵、平滑捲動%n+  隨時在滑鼠與手把間切換%n+  無需韌體重新對應，不與快捷鍵衝突%n-  需要 HidHide 與 usbip，隨 Windows 啟動掛載%n-  ClawTweaks 中最吃 CPU 的部分（不掉幀）	+  Giroscopio con smoothing e anti-deadzone%n+  Modalità mouse completa, scorciatoie tue, scroll fluido%n+  Passaggio tra mouse e controller%n+  Nessun remap del firmware, nessun conflitto con le scorciatoie%n-  Richiede HidHide e usbip, si monta all'avvio di Windows%n-  La parte di ClawTweaks che usa più CPU (senza perdere FPS)	+  Giroscópio com suavização e antizona morta%n+  Modo mouse completo, atalhos próprios, rolagem suave%n+  Alternar entre mouse e controle%n+  Sem remapear firmware, sem conflito com os atalhos%n-  Precisa de HidHide e usbip, monta ao iniciar o Windows%n-  A parte do ClawTweaks que mais usa CPU (sem perder FPS)	+  スムージングとアンチデッドゾーン付きジャイロ%n+  完全なマウスモード、独自ショートカット、滑らかなスクロール%n+  マウスとコントローラーを切り替え%n+  ファームウェアの再マップ不要、ショートカットと競合なし%n-  HidHide と usbip が必要、Windows 起動時にマウント%n-  ClawTweaks で最も CPU を使う部分 (FPS は落ちません)	+  Żyroskop z wygładzaniem i anti-deadzone%n+  Pełny tryb myszy, własne skróty, płynne przewijanie%n+  Przełączanie myszy i kontrolera%n+  Bez remapowania firmware'u, bez kolizji ze skrótami%n-  Wymaga HidHide i usbip, montuje się przy starcie Windows%n-  Najbardziej obciąża CPU ze wszystkich części (bez utraty FPS)
the optional tools. Bullets on purpose - do not expand them into prose in any language	VcHardware	Hardware controller	Hardware-Controller	Manette matérielle	하드웨어 컨트롤러	Mando por hardware	Аппаратный контроллер	Χειριστήριο υλικού	硬件手柄	硬體手把	Controller hardware	Controle por hardware	ハードウェアコントローラー	Kontroler sprzętowy
the optional tools. Bullets on purpose - do not expand them into prose in any language	VcHardwareBody	+  No extra tools, no extra CPU load%n+  Mounted directly, nothing has to be hidden%n+  Nothing for anti-cheat to trip over%n-  No gyro%n-  Plain MSI mouse mode, no mappable actions%n-  Remaps burned into firmware, simple macros only%n-  M1/M2 shortcuts can be lost to a game remap	+  Keine Extra-Werkzeuge, keine Extra-CPU-Last%n+  Direkt gemountet, nichts muss versteckt werden%n+  Nichts, worüber Anti-Cheat stolpert%n-  Kein Gyro%n-  Einfacher MSI-Maus-Modus, keine mappbaren Aktionen%n-  Remaps fest in der Firmware, nur einfache Makros%n-  M1/M2-Shortcuts können durch ein Spiel-Remap ausfallen	+  Aucun outil en plus, aucune charge CPU en plus%n+  Montée directement, rien à masquer%n+  Rien qui gêne un anti-triche%n-  Pas de gyro%n-  Mode souris MSI simple, aucune action mappable%n-  Remappages gravés dans le firmware, macros simples seulement%n-  Les raccourcis M1/M2 peuvent sauter si un jeu remappe ces touches	+  추가 도구 없음, 추가 CPU 부하 없음%n+  직접 마운트, 숨길 것이 없음%n+  안티치트가 걸릴 것이 없음%n-  자이로 없음%n-  기본 MSI 마우스 모드, 매핑 가능한 동작 없음%n-  리매핑은 펌웨어에 고정, 단순 매크로만%n-  게임 리매핑 때문에 M1/M2 단축키가 안 될 수 있음	+  Sin herramientas extra ni carga extra de CPU%n+  Montado directo, no hay que ocultar nada%n+  Nada con lo que tropiece un anticheat%n-  Sin giroscopio%n-  Modo ratón MSI simple, sin acciones asignables%n-  Remapeos grabados en el firmware, solo macros simples%n-  Los atajos M1/M2 pueden perderse si un juego remapea esas teclas	+  Никаких лишних инструментов и лишней нагрузки на CPU%n+  Подключается напрямую, ничего не нужно прятать%n+  Античиту не за что зацепиться%n-  Нет гироскопа%n-  Простой режим мыши MSI, без назначаемых действий%n-  Переназначения зашиты в прошивку, только простые макросы%n-  Сочетания M1/M2 могут пропасть из-за переназначения в игре	+  Χωρίς επιπλέον εργαλεία, χωρίς επιπλέον φόρτο CPU%n+  Απευθείας σύνδεση, δεν κρύβεται τίποτα%n+  Τίποτα για να σκοντάψει ένα anti-cheat%n-  Χωρίς gyro%n-  Απλή λειτουργία ποντικιού MSI, χωρίς αντιστοιχίσιμες ενέργειες%n-  Τα remaps γράφονται στο firmware, μόνο απλές μακροεντολές%n-  Οι συντομεύσεις M1/M2 μπορεί να χαθούν από remap παιχνιδιού	+  不装额外工具，不增加 CPU 负担%n+  直接挂载，无需隐藏任何设备%n+  反作弊没有可挑剔之处%n-  没有陀螺仪%n-  只有 MSI 基本鼠标模式，动作不可映射%n-  重映射写死在固件里，只能做简单宏%n-  游戏内重映射按键后，M1/M2 快捷键可能失效	+  不裝額外工具，不增加 CPU 負擔%n+  直接掛載，無需隱藏任何裝置%n+  反作弊沒有可挑剔之處%n-  沒有陀螺儀%n-  只有 MSI 基本滑鼠模式，動作不可對應%n-  重新對應寫死在韌體裡，只能做簡單巨集%n-  遊戲內重新對應按鍵後，M1/M2 快捷鍵可能失效	+  Nessuno strumento in più, nessun carico CPU in più%n+  Montato direttamente, non c'è nulla da nascondere%n+  Niente su cui un anti-cheat possa inciampare%n-  Nessun giroscopio%n-  Modalità mouse MSI semplice, nessuna azione mappabile%n-  Remap scritti nel firmware, solo macro semplici%n-  Le scorciatoie M1/M2 possono saltare se un gioco rimappa quei tasti	+  Sem ferramentas extras, sem carga extra de CPU%n+  Montado direto, nada precisa ser escondido%n+  Nada em que um anticheat tropece%n-  Sem giroscópio%n-  Modo mouse MSI simples, sem ações mapeáveis%n-  Remapeamentos gravados no firmware, só macros simples%n-  Os atalhos M1/M2 podem sumir se um jogo remapear essas teclas	+  追加ツールなし、CPU 負荷の増加なし%n+  直接マウント、隠す必要なし%n+  アンチチートが引っかかる要素なし%n-  ジャイロなし%n-  MSI の標準マウスモードのみ、動作の割り当て不可%n-  再マップはファームウェアに固定、単純なマクロのみ%n-  ゲーム側の再マップで M1/M2 ショートカットが効かなくなることがあります	+  Bez dodatkowych narzędzi i bez dodatkowego obciążenia CPU%n+  Montowany bezpośrednio, niczego nie trzeba ukrywać%n+  Nic, o co mógłby potknąć się anti-cheat%n-  Brak żyroskopu%n-  Zwykły tryb myszy MSI, bez mapowalnych akcji%n-  Remapy wypalone w firmware, tylko proste makra%n-  Skróty M1/M2 mogą przepaść przez remap w grze
the optional tools. Bullets on purpose - do not expand them into prose in any language	RtssTitle	RivaTuner Statistics Server (RTSS)												
the optional tools. Bullets on purpose - do not expand them into prose in any language	RtssDesc	Optional. ClawTweaks has its own overlay and its own FPS limiter without it.	Optional. ClawTweaks hat auch ohne RTSS ein eigenes Overlay und einen eigenen FPS-Limiter.	Optionnel. ClawTweaks a son propre overlay et son propre limiteur FPS sans lui.	선택 사항입니다. ClawTweaks에는 자체 오버레이와 자체 FPS 제한이 있습니다.	Opcional. ClawTweaks tiene su propio overlay y su propio limitador de FPS sin él.	Необязательно. У ClawTweaks есть свой оверлей и свой ограничитель FPS и без него.	Προαιρετικό. Το ClawTweaks έχει δικό του overlay και δικό του όριο FPS χωρίς αυτό.	可选。没有它，ClawTweaks 也有自己的浮层和帧数限制。	選用。沒有它，ClawTweaks 也有自己的浮層和幀數限制。	Opzionale. ClawTweaks ha un overlay e un limitatore FPS propri anche senza.	Opcional. O ClawTweaks tem overlay e limitador de FPS próprios sem ele.	任意です。RTSS がなくても ClawTweaks には独自のオーバーレイと FPS 制限があります。	Opcjonalne. ClawTweaks ma własną nakładkę i własny limiter FPS także bez niego.
the optional tools. Bullets on purpose - do not expand them into prose in any language	RtssYes	Install RTSS	RTSS installieren	Installer RTSS	RTSS 설치	Instalar RTSS	Установить RTSS	Εγκατάσταση RTSS	安装 RTSS	安裝 RTSS	Installa RTSS	Instalar o RTSS	RTSS をインストール	Zainstaluj RTSS
the optional tools. Bullets on purpose - do not expand them into prose in any language	RtssYesBody	-  RTSS overlay and RTSS FPS limiter%n-  About 30 MB through winget - the mirror can be slow%n-  Some games do not like it (ARC Raiders stutter, EA FC 27 crashes)	-  RTSS-Overlay und RTSS-FPS-Limiter%n-  Rund 30 MB über winget - der Mirror kann langsam sein%n-  Manche Spiele vertragen es nicht (ARC Raiders ruckelt, EA FC 27 stürzt ab)	-  Overlay RTSS et limiteur FPS RTSS%n-  Environ 30 Mo via winget - le miroir peut être lent%n-  Certains jeux le supportent mal (saccades ARC Raiders, plantages EA FC 27)	-  RTSS 오버레이와 RTSS FPS 제한%n-  winget으로 약 30 MB - 미러가 느릴 수 있음%n-  일부 게임과 맞지 않음 (ARC Raiders 끊김, EA FC 27 충돌)	-  Overlay RTSS y limitador FPS de RTSS%n-  Unos 30 MB por winget: el mirror puede ir lento%n-  A algunos juegos no les sienta bien (tirones en ARC Raiders, cierres en EA FC 27)	-  Оверлей RTSS и ограничитель FPS RTSS%n-  Около 30 МБ через winget — зеркало бывает медленным%n-  Некоторым играм он мешает (фризы в ARC Raiders, вылеты EA FC 27)	-  Overlay RTSS και όριο FPS RTSS%n-  Περίπου 30 MB μέσω winget - ο mirror μπορεί να είναι αργός%n-  Κάποια παιχνίδια δεν το δέχονται (κολλήματα ARC Raiders, crash EA FC 27)	-  RTSS 浮层与 RTSS 帧数限制%n-  经 winget 约 30 MB，镜像可能很慢%n-  有些游戏不兼容（ARC Raiders 卡顿，EA FC 27 崩溃）	-  RTSS 浮層與 RTSS 幀數限制%n-  經 winget 約 30 MB，鏡像可能很慢%n-  有些遊戲不相容（ARC Raiders 卡頓，EA FC 27 當機）	-  Overlay RTSS e limitatore FPS RTSS%n-  Circa 30 MB via winget - il mirror può essere lento%n-  Alcuni giochi non lo gradiscono (scatti in ARC Raiders, crash di EA FC 27)	-  Overlay RTSS e limitador de FPS do RTSS%n-  Cerca de 30 MB via winget - o espelho pode ser lento%n-  Alguns jogos não gostam (travadas no ARC Raiders, quedas no EA FC 27)	-  RTSS オーバーレイと RTSS FPS 制限%n-  winget 経由で約 30 MB - ミラーが遅いことがあります%n-  一部のゲームと相性が悪い (ARC Raiders のカクつき、EA FC 27 のクラッシュ)	-  Nakładka RTSS i limiter FPS RTSS%n-  Około 30 MB przez winget - serwer lustrzany bywa wolny%n-  Część gier tego nie znosi (zacięcia w ARC Raiders, awarie EA FC 27)
the optional tools. Bullets on purpose - do not expand them into prose in any language	RtssNo	Skip RTSS	RTSS überspringen	Ignorer RTSS	RTSS 건너뛰기	Omitir RTSS	Пропустить RTSS	Παράλειψη RTSS	跳过 RTSS	跳過 RTSS	Salta RTSS	Pular o RTSS	RTSS をスキップ	Pomiń RTSS
